Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr
7-Jan-11,13,1291,1321,497,762,1908,3681,,4049,2596,717,337,344,163,375,1159,2010,416,274
7-Jan-11,14,1096,698,387,507,1993,3025,,3257,2023,370,134,223,86,145,1235,1705,362,110
7-Jan-11,15,1118,604,417,704,1887,3267,,2994,1673,377,172,187,106,105,1338,1661,388,121
7-Jan-11,16,1080,632,691,1327,2026,3108,,2899,1554,900,532,148,76,193,1456,2190,608,141
7-Jan-11,17,1350,955,1133,2039,2052,3117,,2822,1544,1350,692,239,78,325,1806,2938,715,253
7-Jan-11,18,1039,516,457,656,2011,2591,,2319,1053,485,330,209,97,174,1444,1833,452,173
7-Jan-11,19,861,430,220,232,1690,2192,,1676,619,212,146,306,173,104,1104,1369,405,136
7-Jan-11,20,941,334,119,166,1809,1983,,1295,487,156,145,614,394,70,979,1135,342,112
7-Jan-11,21,865,234,156,123,1862,1679,,627,275,77,92,724,562,65,1137,1143,466,112
7-Jan-11,22,654,160,104,85,1272,1412,,435,232,60,52,566,362,44,1295,944,360,89
7-Jan-11,23,541,177,88,59,1148,1011,,417,171,55,50,260,193,22,818,839,323,67
8-Jan-11,0,405,83,51,25,683,987,,245,101,27,22,112,54,16,479,525,227,37
8-Jan-11,1,213,41,16,14,447,549,,110,35,5,17,10,18,1,184,275,126,26
8-Jan-11,2,117,22,25,5,207,302,,101,98,14,15,12,6,3,111,144,77,13
8-Jan-11,3,86,19,7,16,114,236,,69,25,16,12,17,2,3,94,140,60,7
8-Jan-11,4,42,20,4,4,50,94,,42,29,4,7,6,2,2,62,82,56,11
8-Jan-11,5,20,21,8,9,70,86,,31,10,2,6,3,0,5,72,73,49,12
8-Jan-11,6,35,28,16,14,83,96,,29,15,20,14,11,9,20,46,129,43,27
8-Jan-11,7,56,51,20,11,113,193,,100,76,34,23,43,24,34,53,175,74,76
8-Jan-11,8,89,119,44,24,199,345,,218,200,43,40,69,62,50,208,361,103,64
8-Jan-11,9,213,138,71,39,365,739,,620,538,82,37,120,116,80,455,479,120,96
8-Jan-11,10,346,183,102,52,609,1262,,1283,685,74,78,162,130,63,737,801,212,105
8-Jan-11,11,534,159,125,43,624,1883,,2065,951,69,70,152,175,84,1053,1053,253,79
8-Jan-11,12,683,215,138,47,1099,2171,,2543,1287,114,76,288,254,79,1219,1089,292,135
8-Jan-11,13,823,294,171,47,1554,2516,,2696,1364,68,96,290,285,71,1382,1097,224,177
8-Jan-11,14,921,205,107,57,1656,2552,,2648,1243,79,89,399,389,99,1250,1151,283,178
8-Jan-11,15,1115,247,108,55,1379,2661,,3014,1121,65,85,516,396,113,1328,1370,381,261
8-Jan-11,16,1061,254,148,57,1498,2482,,2713,1024,59,97,395,303,91,1600,1366,365,178
8-Jan-11,17,997,289,118,52,1405,2219,,2035,673,62,105,347,296,88,1416,1369,356,223
8-Jan-11,18,898,356,125,32,1474,1664,,933,440,83,96,318,208,69,1099,1037,327,147
8-Jan-11,19,629,341,136,46,1428,1332,,523,342,60,103,391,189,54,1062,911,330,63
8-Jan-11,20,694,277,55,42,1454,1182,,394,221,28,65,117,58,22,736,863,284,47
8-Jan-11,21,481,173,45,30,1149,1172,,334,205,26,57,116,65,22,569,673,248,14
8-Jan-11,22,447,137,70,78,969,1263,,273,157,65,75,179,109,33,1062,635,305,25
8-Jan-11,23,385,141,65,14,927,1765,,274,233,21,46,160,95,20,550,692,335,16
9-Jan-11,0,214,82,34,28,553,1151,,173,112,22,58,74,33,25,418,460,193,12
9-Jan-11,1,200,61,37,16,349,958,,171,103,13,24,24,9,9,154,230,125,6
